Iteration,x_k,f(x_k)
979,3.7799,77.77246
980,3.77432,77.33949
981,3.76871,76.90576
982,3.76308,76.47126
983,3.75741,76.03599
984,3.75172,75.59995
985,3.74599,75.16312
986,3.74024,74.7255
987,3.73446,74.28708
988,3.72864,73.84785
989,3.7228,73.40781
990,3.71692,72.96695
991,3.71101,72.52526
992,3.70507,72.08273
993,3.6991,71.63936
994,3.6931,71.19513
995,3.68706,70.75005
996,3.68098,70.30409
997,3.67488,69.85726
998,3.66873,69.40954
999,3.66256,68.96092
1000,3.65634,68.5114
